"QSI_TOWER","STRUCTURE","X","Y","Z1","Z2","H","LATITUDE","LONGITUDE","STR_GEOTAG","STR_TYPE"
"19","002/020","6418309.904","1795160.612","6.469","185.14","178.67","38.09047174","-122.49806704","W12249806N3809047","Tangent"
"20","002/021","6418413.888","1795820.811","1.476","183.66","182.18","38.09228607","-122.49771833","W12249771N3809228","Tangent"
"21","002/022","6418579.637","1796878.306","1.382","87.04","85.66","38.09519221","-122.49716256","W12249716N3809519","Dead End"
"22","002/023","6418682.045","1797526.61","0.918","88.71","87.79","38.09697385","-122.49681906","W12249681N3809697","Tangent"
"23","003/024","6418784.675","1798173.062","0.751","88.12","87.37","38.0987504","-122.49647474","W12249647N3809875","Tangent"
"24","003/025","6418887.668","1798821.224","1.967","88.19","86.22","38.10053166","-122.49612917","W12249612N3810053","Tangent"
"25","003/026","6418989.48","1799468.591","3.969","88.35","84.38","38.10231071","-122.49578767","W12249578N3810231","Tangent"
"26","003/027","6419178.667","1800235.357","5.75","88.71","82.96","38.10441892","-122.4951448","W12249514N3810441","Dead End"
"27","003/028","6419647.582","1801656.523","5.48","264.93","259.45","38.10832814","-122.49354217","W12249354N3810832","Tangent"
"28","003/029","6420210.289","1803353.845","6.649","265.45","258.8","38.112997","-122.49161861","W12249161N3811299","Tangent"
"29","004/030","6420684.032","1804787.078","10.073","83.46","73.39","38.11693938","-122.48999905","W12248999N3811693","Dead End"
"30","004/031","6420943.072","1805545.022","10.547","84.6","74.05","38.11902437","-122.48911293","W12248911N3811902","Dead End"
"31","004/032","6421420.696","1806154.361","11.152","84.94","73.79","38.12070453","-122.48746424","W12248746N3812070","Tangent"
"32","004/033","6421910.717","1806779.451","0.528","87.86","87.33","38.12242811","-122.48577268","W12248577N3812242","Tangent"
"33","004/034","6422228.464","1807184.951","1.38","87.11","85.73","38.12354618","-122.48467578","W12248467N3812354","Tangent"
"34","004/035","6422722.206","1807814.445","-0.644","86.15","86.79","38.12528186","-122.48297123","W12248297N3812528","Tangent"
"35","004/036","6423216.185","1808444.117","0.634","87.04","86.41","38.12701801","-122.48126578","W12248126N3812701","Tangent"
"36","005/037","6423710.811","1809073.296","0.803","87.21","86.41","38.12875278","-122.47955799","W12247955N3812875","Tangent"
"37","005/038","6424206.347","1809706.722","0.337","87.06","86.72","38.13049921","-122.47784703","W12247784N3813049","Tangent"
"38","005/039","6424698.055","1810333.508","0.793","87.6","86.81","38.13222732","-122.47614918","W12247614N3813222","Tangent"
"39","005/040","6425192.28","1810963.207","0.325","87.33","87.0","38.13396344","-122.47444254","W12247444N3813396","Tangent"
"40","005/041","6425759.989","1811687.566","0.344","100.51","100.17","38.13596051","-122.47248207","W12247248N3813596","Tangent"
"41","005/042","6426352.631","1812443.032","1.741","101.19","99.45","38.13804331","-122.47043538","W12247043N3813804","Tangent"
"42","005/043","6426659.197","1812834.011","5.105","88.86","83.75","38.13912121","-122.4693766","W12246937N3813912","Tangent"
"43","006/044","6427154.886","1813466.132","14.018","96.9","82.88","38.14086391","-122.46766459","W12246766N3814086","Tangent"
"44","006/045","6427648.832","1814095.891","21.099","103.53","82.43","38.14260007","-122.46595852","W12246595N3814260","Dead End"
"45","006/046","6428240.574","1814540.037","39.036","122.13","83.09","38.14382792","-122.46390905","W12246390N3814382","Tangent"
"46","006/047","6428808.618","1814966.735","64.123","146.52","82.4","38.14500749","-122.46194159","W12246194N3814500","Tangent"
"47","006/048","6429374.36","1815391.284","78.437","161.02","82.58","38.1461811","-122.45998204","W12245998N3814618","Tangent"
"48","006/049","6429985.324","1815850.3","114.061","196.42","82.36","38.14744994","-122.45786579","W12245786N3814744","Tangent"
"49","006/050","6430628.693","1816333.196","186.806","270.5","83.69","38.14878476","-122.4556372","W12245563N3814878","Tangent"
